office,district,candidate,party,county,votes
State Senator,22,UNDER VOTES,,Total,992
State Senator,22,SCATTERING,,Total,24
State Senator,22,TOTAL,,Total,27735
State Senator,24,ALBERT SORENSEN,Democrat,Boone,4972
State Senator,24,JERRY BEHN,Republican,Boone,6154
State Senator,24,OVER VOTES,,Boone,3
State Senator,24,UNDER VOTES,,Boone,337
State Senator,24,SCATTERING,,Boone,11
State Senator,24,TOTAL,,Boone,11477
State Senator,24,ALBERT SORENSEN,Democrat,Dallas,11261
State Senator,24,JERRY BEHN,Republican,Dallas,16816
State Senator,24,OVER VOTES,,Dallas,6
State Senator,24,UNDER VOTES,,Dallas,2273
State Senator,24,SCATTERING,,Dallas,36
State Senator,24,TOTAL,,Dallas,30392
State Senator,24,ALBERT SORENSEN,Democrat,Total,16233
State Senator,24,JERRY BEHN,Republican,Total,22970
State Senator,24,OVER VOTES,,Total,9
State Senator,24,UNDER VOTES,,Total,2610
State Senator,24,SCATTERING,,Total,47
State Senator,24,TOTAL,,Total,41869
State Senator,26,STEVE KETTERING,Republican,Buena Vista,10278
State Senator,26,OVER VOTES,,Buena Vista,3
State Senator,26,UNDER VOTES,,Buena Vista,2582
State Senator,26,SCATTERING,,Buena Vista,77
State Senator,26,TOTAL,,Buena Vista,12940
State Senator,26,STEVE KETTERING,Republican,Carroll,7036
State Senator,26,OVER VOTES,,Carroll,0
State Senator,26,UNDER VOTES,,Carroll,3369
State Senator,26,SCATTERING,,Carroll,91
State Senator,26,TOTAL,,Carroll,10496
State Senator,26,STEVE KETTERING,Republican,Crawford,1518
State Senator,26,OVER VOTES,,Crawford,0
State Senator,26,UNDER VOTES,,Crawford,683
State Senator,26,SCATTERING,,Crawford,13
State Senator,26,TOTAL,,Crawford,2214
State Senator,26,STEVE KETTERING,Republican,Sac,4021
State Senator,26,OVER VOTES,,Sac,0
State Senator,26,UNDER VOTES,,Sac,0
State Senator,26,SCATTERING,,Sac,31
State Senator,26,TOTAL,,Sac,4052
State Senator,26,STEVE KETTERING,Republican,Total,22853
State Senator,26,OVER VOTES,,Total,3
State Senator,26,UNDER VOTES,,Total,6634
State Senator,26,SCATTERING,,Total,212
State Senator,26,TOTAL,,Total,29702
State Senator,28,JAMES A. SEYMOUR,Republican,Crawford,2649
State Senator,28,OVER VOTES,,Crawford,1
State Senator,28,UNDER VOTES,,Crawford,1769
State Senator,28,SCATTERING,,Crawford,644
State Senator,28,TOTAL,,Crawford,5063
State Senator,28,JAMES A. SEYMOUR,Republican,Harrison,4563
State Senator,28,OVER VOTES,,Harrison,0
State Senator,28,UNDER VOTES,,Harrison,2073
State Senator,28,SCATTERING,,Harrison,1003
State Senator,28,TOTAL,,Harrison,7639
State Senator,28,JAMES A. SEYMOUR,Republican,Ida,2363
State Senator,28,OVER VOTES,,Ida,0
State Senator,28,UNDER VOTES,,Ida,0
State Senator,28,SCATTERING,,Ida,233
State Senator,28,TOTAL,,Ida,2596
State Senator,28,JAMES A. SEYMOUR,Republican,Monona,3160
State Senator,28,OVER VOTES,,Monona,0
State Senator,28,UNDER VOTES,,Monona,0
State Senator,28,SCATTERING,,Monona,136
State Senator,28,TOTAL,,Monona,3296
State Senator,28,JAMES A. SEYMOUR,Republican,Pottawattamie,2355
State Senator,28,OVER VOTES,,Pottawattamie,0
State Senator,28,UNDER VOTES,,Pottawattamie,1187
State Senator,28,SCATTERING,,Pottawattamie,77
State Senator,28,TOTAL,,Pottawattamie,3619
State Senator,28,JAMES A. SEYMOUR,Republican,Woodbury,2098
State Senator,28,OVER VOTES,,Woodbury,0
State Senator,28,UNDER VOTES,,Woodbury,0
State Senator,28,SCATTERING,,Woodbury,86
State Senator,28,TOTAL,,Woodbury,2184
State Senator,28,JAMES A. SEYMOUR,Republican,Total,17188
State Senator,28,OVER VOTES,,Total,1
State Senator,28,UNDER VOTES,,Total,5029
State Senator,28,SCATTERING,,Total,2179
State Senator,28,TOTAL,,Total,24397
State Senator,30,PAT WARD,Republican,Polk,21842
State Senator,30,OVER VOTES,,Polk,3
State Senator,30,UNDER VOTES,,Polk,12211
State Senator,30,SCATTERING,,Polk,440
State Senator,30,TOTAL,,Polk,34496
State Senator,30,PAT WARD,Republican,Total,21842
State Senator,30,OVER VOTES,,Total,3
State Senator,30,UNDER VOTES,,Total,12211
State Senator,30,SCATTERING,,Total,440
State Senator,30,TOTAL,,Total,34496
State Senator,32,BRAD ZAUN,Republican,Polk,23190
State Senator,32,OVER VOTES,,Polk,3
State Senator,32,UNDER VOTES,,Polk,12424
State Senator,32,SCATTERING,,Polk,658
State Senator,32,TOTAL,,Polk,36275
State Senator,32,BRAD ZAUN,Republican,Total,23190
State Senator,32,OVER VOTES,,Total,3
State Senator,32,UNDER VOTES,,Total,12424
State Senator,32,SCATTERING,,Total,658
State Senator,32,TOTAL,,Total,36275
State Senator,34,DICK L. DEARDEN,Democrat,Polk,17705
State Senator,34,SCOTT STROSAHL,Republican,Polk,9615
State Senator,34,OVER VOTES,,Polk,7
State Senator,34,UNDER VOTES,,Polk,1624
State Senator,34,SCATTERING,,Polk,39
State Senator,34,TOTAL,,Polk,28990
State Senator,34,DICK L. DEARDEN,Democrat,Total,17705
State Senator,34,SCOTT STROSAHL,Republican,Total,9615
State Senator,34,OVER VOTES,,Total,7
State Senator,34,UNDER VOTES,,Total,1624
State Senator,34,SCATTERING,,Total,39
State Senator,34,TOTAL,,Total,28990
State Senator,36,DEB BALLALATAK,Democrat,Jasper,517
State Senator,36,PAUL MCKINLEY,Republican,Jasper,722
State Senator,36,OVER VOTES,,Jasper,0
State Senator,36,UNDER VOTES,,Jasper,83
State Senator,36,SCATTERING,,Jasper,1
State Senator,36,TOTAL,,Jasper,1323
State Senator,36,DEB BALLALATAK,Democrat,Lucas,1239
State Senator,36,PAUL MCKINLEY,Republican,Lucas,3139
State Senator,36,OVER VOTES,,Lucas,0
State Senator,36,UNDER VOTES,,Lucas,0
State Senator,36,SCATTERING,,Lucas,0
State Senator,36,TOTAL,,Lucas,4378
State Senator,36,DEB BALLALATAK,Democrat,Mahaska,877
State Senator,36,PAUL MCKINLEY,Republican,Mahaska,2387
State Senator,36,OVER VOTES,,Mahaska,0
State Senator,36,UNDER VOTES,,Mahaska,0
State Senator,36,SCATTERING,,Mahaska,3
State Senator,36,TOTAL,,Mahaska,3267
State Senator,36,DEB BALLALATAK,Democrat,Marion,6091
State Senator,36,PAUL MCKINLEY,Republican,Marion,10070
State Senator,36,OVER VOTES,,Marion,4
State Senator,36,UNDER VOTES,,Marion,937
State Senator,36,SCATTERING,,Marion,13
State Senator,36,TOTAL,,Marion,17115
State Senator,36,DEB BALLALATAK,Democrat,Monroe,1855
State Senator,36,PAUL MCKINLEY,Republican,Monroe,1918
State Senator,36,OVER VOTES,,Monroe,0
State Senator,36,UNDER VOTES,,Monroe,133
State Senator,36,SCATTERING,,Monroe,1
State Senator,36,TOTAL,,Monroe,3907
State Senator,36,DEB BALLALATAK,Democrat,Total,10579
State Senator,36,PAUL MCKINLEY,Republican,Total,18236
State Senator,36,OVER VOTES,,Total,4
State Senator,36,UNDER VOTES,,Total,1153
State Senator,36,SCATTERING,,Total,18
State Senator,36,TOTAL,,Total,29990
State Senator,38,THOMAS J RIELLY,Democrat,Iowa,3515
State Senator,38,MICHAEL C. HADLEY,Republican,Iowa,2826
State Senator,38,OVER VOTES,,Iowa,2
State Senator,38,UNDER VOTES,,Iowa,0
State Senator,38,SCATTERING,,Iowa,3
State Senator,38,TOTAL,,Iowa,6346
State Senator,38,THOMAS J RIELLY,Democrat,Keokuk,2566
State Senator,38,MICHAEL C. HADLEY,Republican,Keokuk,2545
State Senator,38,OVER VOTES,,Keokuk,0
State Senator,38,UNDER VOTES,,Keokuk,0
State Senator,38,SCATTERING,,Keokuk,3
State Senator,38,TOTAL,,Keokuk,5114
State Senator,38,THOMAS J RIELLY,Democrat,Mahaska,4268
State Senator,38,MICHAEL C. HADLEY,Republican,Mahaska,3027
State Senator,38,OVER VOTES,,Mahaska,2
State Senator,38,UNDER VOTES,,Mahaska,0
State Senator,38,SCATTERING,,Mahaska,3
State Senator,38,TOTAL,,Mahaska,7300
State Senator,38,THOMAS J RIELLY,Democrat,Poweshiek,5724
State Senator,38,MICHAEL C. HADLEY,Republican,Poweshiek,3810
State Senator,38,OVER VOTES,,Poweshiek,0
State Senator,38,UNDER VOTES,,Poweshiek,0
State Senator,38,SCATTERING,,Poweshiek,13
State Senator,38,TOTAL,,Poweshiek,9547
State Senator,38,THOMAS J RIELLY,Democrat,Tama,259
State Senator,38,MICHAEL C. HADLEY,Republican,Tama,185
State Senator,38,OVER VOTES,,Tama,0
State Senator,38,UNDER VOTES,,Tama,33
State Senator,38,SCATTERING,,Tama,1
State Senator,38,TOTAL,,Tama,478
State Senator,38,THOMAS J RIELLY,Democrat,Total,16332
State Senator,38,MICHAEL C. HADLEY,Republican,Total,12393
State Senator,38,OVER VOTES,,Total,4
State Senator,38,UNDER VOTES,,Total,33
State Senator,38,SCATTERING,,Total,23
State Senator,38,TOTAL,,Total,28785
State Senator,40,SHARON SAVAGE,Democrat,Cedar,4043
State Senator,40,JAMES F. HAHN,Republican,Cedar,5107
State Senator,40,OVER VOTES,,Cedar,1
State Senator,40,UNDER VOTES,,Cedar,551
State Senator,40,SCATTERING,,Cedar,5
State Senator,40,TOTAL,,Cedar,9707
State Senator,40,SHARON SAVAGE,Democrat,Johnson,747
State Senator,40,JAMES F. HAHN,Republican,Johnson,513
State Senator,40,OVER VOTES,,Johnson,0
State Senator,40,UNDER VOTES,,Johnson,126
State Senator,40,SCATTERING,,Johnson,1
State Senator,40,TOTAL,,Johnson,1387
State Senator,40,SHARON SAVAGE,Democrat,Muscatine,8149
State Senator,40,JAMES F. HAHN,Republican,Muscatine,8514
State Senator,40,OVER VOTES,,Muscatine,3
State Senator,40,UNDER VOTES,,Muscatine,686
State Senator,40,SCATTERING,,Muscatine,13
State Senator,40,TOTAL,,Muscatine,17365
State Senator,40,SHARON SAVAGE,Democrat,Total,12939
State Senator,40,JAMES F. HAHN,Republican,Total,14134
State Senator,40,OVER VOTES,,Total,4
State Senator,40,UNDER VOTES,,Total,1363
State Senator,40,SCATTERING,,Total,19
State Senator,40,TOTAL,,Total,28459
State Senator,42,FRANK B. WOOD,Democrat,Clinton,4717
State Senator,42,SHAWN HAMERLINCK,Republican,Clinton,4377
State Senator,42,OVER VOTES,,Clinton,0
State Senator,42,UNDER VOTES,,Clinton,381
State Senator,42,SCATTERING,,Clinton,6
State Senator,42,TOTAL,,Clinton,9481
State Senator,42,FRANK B. WOOD,Democrat,Scott,11346
State Senator,42,SHAWN HAMERLINCK,Republican,Scott,12070
State Senator,42,OVER VOTES,,Scott,0
State Senator,42,UNDER VOTES,,Scott,0
State Senator,42,SCATTERING,,Scott,26
State Senator,42,TOTAL,,Scott,23442
State Senator,42,FRANK B. WOOD,Democrat,Total,16063
State Senator,42,SHAWN HAMERLINCK,Republican,Total,16447
State Senator,42,OVER VOTES,,Total,0
State Senator,42,UNDER VOTES,,Total,381
State Senator,42,SCATTERING,,Total,32
State Senator,42,TOTAL,,Total,32923
State Senator,44,THOMAS G. COURTNEY,Democrat,Des Moines,12554
State Senator,44,DAVID KERR,Republican,Des Moines,7137
State Senator,44,OVER VOTES,,Des Moines,2
State Senator,44,UNDER VOTES,,Des Moines,964
State Senator,44,SCATTERING,,Des Moines,36
State Senator,44,TOTAL,,Des Moines,20693
State Senator,44,THOMAS G. COURTNEY,Democrat,Louisa,2178
State Senator,44,DAVID KERR,Republican,Louisa,2588
State Senator,44,OVER VOTES,,Louisa,0
State Senator,44,UNDER VOTES,,Louisa,203
State Senator,44,SCATTERING,,Louisa,1
State Senator,44,TOTAL,,Louisa,4970
State Senator,44,THOMAS G. COURTNEY,Democrat,Muscatine,869
State Senator,44,DAVID KERR,Republican,Muscatine,811
State Senator,44,OVER VOTES,,Muscatine,0
State Senator,44,UNDER VOTES,,Muscatine,189
State Senator,44,SCATTERING,,Muscatine,2
State Senator,44,TOTAL,,Muscatine,1871
State Senator,44,THOMAS G. COURTNEY,Democrat,Total,15601
State Senator,44,DAVID KERR,Republican,Total,10536
State Senator,44,OVER VOTES,,Total,2
State Senator,44,UNDER VOTES,,Total,1356
State Senator,44,SCATTERING,,Total,39
State Senator,44,TOTAL,,Total,27534
State Senator,46,EUGENE FRAISE,Democrat,Henry,4343
State Senator,46,DOUG P. ABOLT,Republican,Henry,4600
State Senator,46,OVER VOTES,,Henry,2
State Senator,46,UNDER VOTES,,Henry,467
State Senator,46,SCATTERING,,Henry,7
State Senator,46,TOTAL,,Henry,9419
State Senator,46,EUGENE FRAISE,Democrat,Lee,10325
State Senator,46,DOUG P. ABOLT,Republican,Lee,6488
State Senator,46,OVER VOTES,,Lee,2
State Senator,46,UNDER VOTES,,Lee,511
State Senator,46,SCATTERING,,Lee,26
State Senator,46,TOTAL,,Lee,17352
State Senator,46,EUGENE FRAISE,Democrat,Total,14668
State Senator,46,DOUG P. ABOLT,Republican,Total,11088
State Senator,46,OVER VOTES,,Total,4
State Senator,46,UNDER VOTES,,Total,978
State Senator,46,SCATTERING,,Total,33
State Senator,46,TOTAL,,Total,26771
State Senator,48,KIM REYNOLDS,Republican,Adams,999
State Senator,48,RUTH SMITH,Democrat,Adams,1072
State Senator,48,RODNEY SCHMIDT,Independent,Adams,81
State Senator,48,OVER VOTES,,Adams,0
State Senator,48,UNDER VOTES,,Adams,74
State Senator,48,SCATTERING,,Adams,2
State Senator,48,TOTAL,,Adams,2228
State Senator,48,KIM REYNOLDS,Republican,Clarke,2832
State Senator,48,RUTH SMITH,Democrat,Clarke,1481
State Senator,48,RODNEY SCHMIDT,Independent,Clarke,122
State Senator,48,OVER VOTES,,Clarke,2
State Senator,48,UNDER VOTES,,Clarke,0
State Senator,48,SCATTERING,,Clarke,1
State Senator,48,TOTAL,,Clarke,4438
State Senator,48,KIM REYNOLDS,Republican,Decatur,1675
State Senator,48,RUTH SMITH,Democrat,Decatur,2143
State Senator,48,RODNEY SCHMIDT,Independent,Decatur,182
State Senator,48,OVER VOTES,,Decatur,0
State Senator,48,UNDER VOTES,,Decatur,0
State Senator,48,SCATTERING,,Decatur,3
State Senator,48,TOTAL,,Decatur,4003
State Senator,48,KIM REYNOLDS,Republican,Montgomery,3096
State Senator,48,RUTH SMITH,Democrat,Montgomery,1805
State Senator,48,RODNEY SCHMIDT,Independent,Montgomery,199
State Senator,48,OVER VOTES,,Montgomery,0
State Senator,48,UNDER VOTES,,Montgomery,0
State Senator,48,SCATTERING,,Montgomery,4
State Senator,48,TOTAL,,Montgomery,5104
State Senator,48,KIM REYNOLDS,Republican,Ringgold,1264
State Senator,48,RUTH SMITH,Democrat,Ringgold,1266
State Senator,48,RODNEY SCHMIDT,Independent,Ringgold,88
State Senator,48,OVER VOTES,,Ringgold,0
State Senator,48,UNDER VOTES,,Ringgold,0
State Senator,48,SCATTERING,,Ringgold,3
State Senator,48,TOTAL,,Ringgold,2621
State Senator,48,KIM REYNOLDS,Republican,Taylor,1568
State Senator,48,RUTH SMITH,Democrat,Taylor,1233
State Senator,48,RODNEY SCHMIDT,Independent,Taylor,132
State Senator,48,OVER VOTES,,Taylor,0
State Senator,48,UNDER VOTES,,Taylor,0
State Senator,48,SCATTERING,,Taylor,3
State Senator,48,TOTAL,,Taylor,2936
State Senator,48,KIM REYNOLDS,Republican,Union,2840
State Senator,48,RUTH SMITH,Democrat,Union,2653
State Senator,48,RODNEY SCHMIDT,Independent,Union,217
State Senator,48,OVER VOTES,,Union,0
State Senator,48,UNDER VOTES,,Union,253
State Senator,48,SCATTERING,,Union,1
State Senator,48,TOTAL,,Union,5964
State Senator,48,KIM REYNOLDS,Republican,Total,14274
State Senator,48,RUTH SMITH,Democrat,Total,11653
State Senator,48,RODNEY SCHMIDT,Independent,Total,1021
State Senator,48,OVER VOTES,,Total,2
State Senator,48,UNDER VOTES,,Total,327
State Senator,48,SCATTERING,,Total,17
State Senator,48,TOTAL,,Total,27294
State Senator,50,MARK A. BRANDENBURG,Republican,Pottawattamie,9740
State Senator,50,MICHAEL E. GRONSTAL,Democrat,Pottawattamie,13375
State Senator,50,OVER VOTES,,Pottawattamie,11
State Senator,50,UNDER VOTES,,Pottawattamie,1048
State Senator,50,SCATTERING,,Pottawattamie,30
State Senator,50,TOTAL,,Pottawattamie,24204
State Senator,50,MARK A. BRANDENBURG,Republican,Total,9740
State Senator,50,MICHAEL E. GRONSTAL,Democrat,Total,13375
State Senator,50,OVER VOTES,,Total,11
State Senator,50,UNDER VOTES,,Total,1048
State Senator,50,SCATTERING,,Total,30
State Senator,50,TOTAL,,Total,24204
State Representative,1,WESLEY WHITEAD,Democrat,Woodbury,6148
State Representative,1,JEREMY TAYLOR,Republican,Woodbury,6093
State Representative,1,OVER VOTES,,Woodbury,0
State Representative,1,UNDER VOTES,,Woodbury,417
State Representative,1,SCATTERING,,Woodbury,13
State Representative,1,TOTAL,,Woodbury,12671
State Representative,1,WESLEY WHITEAD,Democrat,Total,6148
State Representative,1,JEREMY TAYLOR,Republican,Total,6093
State Representative,1,OVER VOTES,,Total,0
State Representative,1,UNDER VOTES,,Total,417
State Representative,1,SCATTERING,,Total,13
State Representative,1,TOTAL,,Total,12671
State Representative,2,ROGER F. WENDT,Democrat,Woodbury,4709
State Representative,2,RICK BERTRAND,Republican,Woodbury,4429
State Representative,2,OVER VOTES,,Woodbury,0
State Representative,2,UNDER VOTES,,Woodbury,0
State Representative,2,SCATTERING,,Woodbury,9
State Representative,2,TOTAL,,Woodbury,9147
State Representative,2,ROGER F. WENDT,Democrat,Total,4709
State Representative,2,RICK BERTRAND,Republican,Total,4429
State Representative,2,OVER VOTES,,Total,0
State Representative,2,UNDER VOTES,,Total,0
State Representative,2,SCATTERING,,Total,9
State Representative,2,TOTAL,,Total,9147
State Representative,3,T.J. TEMPLETON,Democrat,Plymouth,2266
State Representative,3,CHUCK SODERBERG,Republican,Plymouth,5926
State Representative,3,OVER VOTES,,Plymouth,0
State Representative,3,UNDER VOTES,,Plymouth,0
State Representative,3,SCATTERING,,Plymouth,1
State Representative,3,TOTAL,,Plymouth,8193
State Representative,3,T.J. TEMPLETON,Democrat,Sioux,1017
State Representative,3,CHUCK SODERBERG,Republican,Sioux,4530
State Representative,3,OVER VOTES,,Sioux,0
State Representative,3,UNDER VOTES,,Sioux,101
State Representative,3,SCATTERING,,Sioux,6
State Representative,3,TOTAL,,Sioux,5654
State Representative,3,T.J. TEMPLETON,Democrat,Total,3283
State Representative,3,CHUCK SODERBERG,Republican,Total,10456
State Representative,3,OVER VOTES,,Total,0
State Representative,3,UNDER VOTES,,Total,101
State Representative,3,SCATTERING,,Total,7
State Representative,3,TOTAL,,Total,13847
State Representative,4,JAMES VAN BRUGGEN,Democrat,Lyon,1671
State Representative,4,DWAYNE ALONS,Republican,Lyon,4147
State Representative,4,OVER VOTES,,Lyon,0
State Representative,4,UNDER VOTES,,Lyon,433
State Representative,4,SCATTERING,,Lyon,4
State Representative,4,TOTAL,,Lyon,6255
State Representative,4,JAMES VAN BRUGGEN,Democrat,Sioux,1022
State Representative,4,DWAYNE ALONS,Republican,Sioux,8198
State Representative,4,OVER VOTES,,Sioux,0
State Representative,4,UNDER VOTES,,Sioux,67
State Representative,4,SCATTERING,,Sioux,4
State Representative,4,TOTAL,,Sioux,9291
State Representative,4,JAMES VAN BRUGGEN,Democrat,Total,2693
